School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Raymore-Peculiar,27.04,32.05,59.09,5,2,1
Liberty North,24.91,31.55,56.46,7,3,2
Rockhurst,29.13,26.87,56.01,2,5,3
De Smet Jesuit,19.08,35.68,54.76,12,1,4
Liberty,28.02,22.52,50.54,4,8,5
Lee's Summit West,23.99,23.94,47.93,9,7,6
Nixa,19.26,26.26,45.52,11,6,7
Francis Howell,25.42,19.52,44.94,6,11,8
Blue Springs,28.21,16.21,44.41,3,14,9
Christian Brothers College,34.86,8.74,43.6,1,22,10
Park Hill,15.79,27.28,43.07,16,4,11
Lee's Summit North,16.04,21.54,37.59,14,9,12
Joplin,24.23,10.45,34.68,8,21,13
Holt,22.63,10.59,33.22,10,20,14
Blue Springs South,12.99,20.06,33.05,20,10,15
Fox,14.37,18.24,32.6,18,13,16
Kirkwood,15.83,14.29,30.12,15,16,17
Marquette,12.69,14.23,26.91,21,17,18
Lindbergh,11.95,11.28,23.24,22,19,19
Rock Bridge,16.8,6.17,22.97,13,25,20
Eureka,3.47,18.98,22.45,27,12,21
SLUH,10.08,11.59,21.67,23,18,22
Kickapoo,2.88,15.72,18.59,28,15,23
Lee's Summit,13.06,4.84,17.9,19,28,24
Lafayette (Wildwood),14.86,1.59,16.46,17,30,25
Ft. Zumwalt West,4.85,6.12,10.97,25,26,26
Timberland,2.46,7.39,9.85,29,23,27
Hickman,9.03,0.42,9.44,24,31,28
Northwest (Cedar Hill),3.67,3.9,7.58,26,29,29
Troy Buchanan,-0.61,4.85,4.24,30,27,30
Vianney,-12.56,7.1,-5.46,32,24,31
Francis Howell Central,-10.73,-1.26,-11.99,31,32,32
